lat,lon,HFO_s,DRO_s,ECO_S_s
37.045,86.161,2.3,1.9,5.0
-17.045,26.596,2.9,2.2,1.6
8.864,-78.061,2.6,1.7,0.6
54.318,120.907,2.0,1.8,5.0
6.136,21.217,1.6,1.0,4.9
26.136,20.73,0,4.0,5.0
-76.136,159.158,0,0,0
-10.682,-76.154,3.4,1.8,2.5
-13.864,-73.403,3.6,3.2,5.0
51.136,15.181,2.8,2.1,3.5
12.045,38.969,3.3,2.2,4.7
-38.409,-60.772,2.0,1.2,5.0
65.682,-94.128,0,1.7,5.0
-0.227,-79.218,3.1,1.4,2.7
-21.136,-65.676,2.9,4.1,5.0
-3.864,12.273,1.6,1.5,5.0
43.409,43.125,3.4,2.0,1.3
42.045,68.761,2.3,2.5,3.1
34.773,114.847,3.7,2.7,5.0
-32.955,-65.946,2.6,1.8,4.1
28.409,38.166,1.0,4.7,1.3
-75.682,124.898,0,0,0
-18.409,139.841,3.2,3.2,5.0
56.136,115.656,2.5,1.6,5.0
57.5,-62.535,0,0,0
-24.773,148.0,3.1,1.1,3.5
40.682,67.575,2.9,2.7,2.1
58.409,54.519,1.6,2.1,3.6
36.591,-95.228,3.9,1.3,5.0
-12.5,30.89,2.0,1.6,0
-1.591,-78.764,3.2,0.9,3.9
35.227,59.444,2.5,2.7,5.0
-12.955,132.497,2.6,1.5,0
67.045,83.301,1.6,2.0,5.0
22.5,-15.471,0,5.0,1.8
-11.136,-60.617,0,0.8,0.1
9.773,-66.292,3.2,1.3,1.0
56.136,-93.665,0,2.2,4.5
49.773,-108.984,0,3.3,3.6
51.591,-87.262,1.0,1.4,3.4
-67.955,115.973,0,0,0
42.5,47.077,3.3,2.1,1.7
58.864,-65.854,0,0,0
17.045,-8.074,2.6,4.2,5.0
43.409,120.0,2.5,2.4,5.0
-17.955,33.139,3.3,1.1,1.4
19.318,45.901,1.6,4.6,0
64.318,96.279,1.0,1.7,5.0
29.773,-100.058,3.9,1.5,5.0
-2.5,136.873,0,1.2,5.0
34.318,36.0,2.8,1.1,5.0
2.955,-77.273,2.9,0.8,2.6
-31.136,22.533,1.6,2.7,5.0
-78.409,1.132,0,0,0
29.773,-112.598,0,0,0
64.773,132.071,1.6,2.4,3.7
7.045,-1.144,3.5,1.1,2.5
69.773,-72.263,0,3.3,5.0
19.773,2.169,1.6,4.2,5.0
61.136,-115.144,0,0,0
-14.773,-49.518,2.3,1.1,5.0
67.5,-163.421,0,1.8,0.1
31.136,29.956,2.8,3.0,2.9
6.136,33.08,2.9,2.1,0.7
26.136,114.27,4.6,1.3,4.2
-10.682,25.385,2.0,1.2,3.5
7.045,40.483,3.2,2.2,1.9
35.227,-85.556,3.5,0.9,3.9
6.591,-60.761,2.6,1.2,2.0
67.5,86.447,1.0,2.1,3.0
35.227,38.889,2.3,1.9,5.0
26.136,-104.663,2.0,3.9,4.6
43.409,62.5,1.0,2.0,5.0
20.682,31.536,2.6,5.0,2.9
70.227,69.851,0,1.9,1.8
24.318,-8.714,0,5.0,5.0
40.227,58.218,0,1.5,3.6
-71.591,96.813,0,0,0
27.955,62.397,2.9,2.0,5.0
7.5,-5.26,2.5,1.2,2.3
52.045,109.918,2.8,2.4,2.6
69.773,101.168,0,2.2,3.6
68.864,-96.923,0,2.1,5.0
25.227,24.568,0,5.0,5.0
27.5,43.977,1.0,2.3,5.0
42.955,111.222,0,2.2,5.0
-83.409,-96.923,0,0,0
28.409,65.501,2.5,2.4,4.9
63.409,169.859,0,5.0,5.0
53.409,121.395,2.3,2.0,4.1
62.5,-146.557,3.0,2.2,3.9
71.591,-46.614,,,
-22.045,144.245,3.5,3.3,5.0
47.955,6.441,2.9,1.5,5.0
42.5,-89.538,3.9,1.9,5.0
21.136,20.432,1.0,5.0,5.0
58.409,-63.173,0,3.2,5.0
-12.5,-42.968,2.5,1.3,4.7
40.682,122.591,3.1,1.6,5.0
28.409,116.046,4.6,1.3,3.5
39.773,61.377,0,2.1,5.0
7.045,14.867,3.6,1.6,4.6
-26.136,18.202,2.0,2.7,4.8
-77.045,12.135,0,0,0
-33.409,135.408,2.0,1.4,2.0
0.227,34.275,4.1,1.3,3.1
-28.409,145.444,2.8,3.6,4.2
43.864,142.238,2.3,1.4,4.7
54.318,49.374,2.0,2.0,3.6
-22.955,-54.419,2.0,1.4,5.0
27.5,-105.852,2.6,2.7,5.0
22.045,102.122,3.4,0.8,3.5
42.5,82.154,3.2,1.9,5.0
33.864,114.992,3.6,2.6,5.0
-74.318,124.486,0,0,0
